ventureid,typeofventure,retranscriber,perspectiveofsource,nationality,source,dateofprimarysource_str,nameoftheship,nameofthecaptain,nameofinvestor,nameofoutfitter,numberofvoyages,internalcrossref,voyageidintstd,placeofoutfitting,placeofpurchase,placeofdisembarkation,datedepartureportofoutfitt_str,datetradebeganinafrica_str,dateofdeparturefromafrica_str,datevesselarrivedwithenslave_str,datereturnportofoutfitting_str,numberofenslavedpurchased,numberofenslavedsold,shareoftheship,completedataonoutlays,completedataonreturns,profitsreportedinsource,FATEcol,variousremarks,length_in_days,departurefromportofoutfitt,dateofdeparturefromportofoutfitt,primarysource,dateofprimarysource,tradebeganinafrica,datetradebeganinafrica,departurefromafrica,dateofdeparturefromafrica,vesselarrivedwithenslave,datevesselarrivedwithenslave,returntoportofoutfitting,dateofreturntoportofoutfitting,yearofdeparturefromportofoutfit,yearofprimarysource,yeartradebeganinafrica,yearofdeparturefromafrica,yearvesselarrivedwithslaves,yearofreturntoportofoutfitting,yearmin,YEARAF_own,VOYAGEID
DR091,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91193,,,,1768,,,,,,,1,yes,yes,,,,,,01jul1768,,,,,,,,,,,1768,,,,,,1768,1769,91193
DR092,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91194,,,,1769,,,,,,,1,yes,yes,,,,,,01jul1769,,,,,,,,,,,1769,,,,,,1769,1770,91194
DR093,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91713,,,,1771,,,,,,,1,yes,yes,,,,,,01jul1771,,,,,,,,,,,1771,,,,,,1771,1772,91713
DR094,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91715,,,,1773,,,,,,,1,yes,yes,,,,,,01jul1773,,,,,,,,,,,1773,,,,,,1773,1774,91715
DR095,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Nanny,,,,1,,91772,,,,1771,,,,,,,1,yes,yes,,,,,,01jul1771,,,,,,,,,,,1771,,,,,,1771,1772,91772
DR096,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Aston,,,,1,,91841,,,,1773,,,,,,,1,yes,yes,,,,,,01jul1773,,,,,,,,,,,1773,,,,,,1773,1774,91841
DR097,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Hope,,,,1,,,,,,1772,,,,,,,1,yes,yes,,1,Cannot find matching entry in TSTD,,,01jul1772,,,,,,,,,,,1772,,,,,,1772,1773,
DR098,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Knight,,,,1,,91185,,,,1765,,,,,,,1,yes,yes,,,,,,01jul1765,,,,,,,,,,,1765,,,,,,1765,1766,91185
DR099,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Lively,,,,1,,91714,,,,1772,,,,,,,1,yes,yes,,,,,,01jul1772,,,,,,,,,,,1772,,,,,,1772,1773,91714
DR100,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Tomlinson-Knight papers, Liverpool Record Office, 380 MD 127",,Nanny,,,,1,,91773,,,,1772,,,,,,,1,yes,yes,,,,,,01jul1772,,,,,,,,,,,1772,,,,,,1772,1773,91773
DR101,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",,Ferret,,"Goad, John",,1,,90795,,,,,,,,,,,.125,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,,,90795
KR022,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 40",,Le Convention / Christopher,,"Leyland, Thomas",,1,,80836,,,Grenada & Tortola,,,,1794-07-09,,,114,1,yes,yes,,,"Not entirely clear if this really is venture 80836 (Christopher) in TSTD, or if it is a separate voyage (by Le Convention) that might have traded slaves with 80836.",,,,,,,,,,7,09jul1794,,,,,,,1794,,1794,1794,80836
KR023,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 41",,Lottery,,"Leyland, Thomas",,1,,82379,Liverpool,Bonny,Barbados,1798-07-06,1798-08-22,,1798-11-27,,,460,1,with estimates,with estimates,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study,,7,06jul1798,,,8,22aug1798,,,11,27nov1798,,,1798,,1798,,1798,,1798,1798,82379
KR024,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 42",,Lottery,,"Leyland, Thomas",,1,,82381,Liverpool,Bonny,,1802-05-21,,,,,,305,1,with estimates,with estimates,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study,,5,21may1802,,,,,,,,,,,1802,,,,,,1802,1803,82381
KR025,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 43",,Enterprize,,"Leyland, Thomas",,1,,81302,Liverpool,Bonny,Havana,1803-07-20,1803-09-23,1803-12-06,1804-01-09,1804-04-26,,412,1,with estimates,yes,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study,281,7,20jul1803,,,9,23sep1803,12,06dec1803,1,09jan1804,4,26apr1804,1803,,1803,1803,1804,1804,1803,1803,81302
KR026,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland records, Liverpool Record Office, 387 MD 44",,Fortune,,"Leyland, Thomas",,1,,81497,Liverpool,Congo,Nassau,1805-04-25,1805-07-16,1805-11-10,1805-12-21,1806-05-02,,443,1,with estimates,with estimates,,,Includes estimates imputed similar to assumptions in Nick Radburn’s study,372,4,25apr1805,,,7,16jul1805,11,10nov1805,12,21dec1805,5,02may1806,1805,,1805,1805,1805,1806,1805,1805,81497
KR027,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/2",,Ranger,,"Tuohy, David",,1,,91273,,Angola,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,91273
KR028,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/3",,Sally,,"Tuohy, David",,1,,91328,,Windward & Gold Coast,,,,,,,,,.125,no,no,,,,,,,,,,,,,,,,,,,,,,,,,91328
KR029,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/4",,Corsican Hero,,"Tuohy, David",,1,,91642,,Annamaboe,,1771-02-09,,,,,,,1,no,no,,,,,2,09feb1771,,,,,,,,,,,1771,,,,,,1771,1772,91642
KR030,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/5",,Tom,,"Tuohy, David",,1,,91751,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,91751
KR031,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/7",,Nancy,,"Tuohy, David",,1,,92551,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,92551
KR032,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/9",,Blayds,,"Tuohy, David",,1,,80578,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,80578
KR033,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records, Liverpool Records Office, 380 TUO 4/10",,Ingram,,"Tuohy, David",,1,,81906,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,81906
KR034,Voyage,Klas Rönnbäck,Investor,English,"Robert Bostock papers, Liverpool Records Office, 387 MD 54",,Kite,,"Bostock, Robert",,1,,82173,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,82173
KR035,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Bedford,,"Lumley, Thomas",,1,,80455,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,80455
KR036,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Betsey,,"Lumley, Thomas",,1,,80539,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,80539
KR037,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Bedford,,"Lumley, Thomas",,1,,80456,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,80456
KR038,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/57 (taken from Joseph Inikori’s 1981 article, table 5)",,Frederick,,"Lumley, Thomas",,1,,81511,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,81511
KR039,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Harriott,,"Lumley, Thomas",,1,,81737,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,81737
KR040,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2 (taken from Joseph Inikori’s 1981 article, table 5)",,,,"Lumley, Thomas",,1,,81512,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,81512
KR041,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Harriott,,"Lumley, Thomas",,1,,81738,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,81738
KR042,Voyage,Klas Rönnbäck,Investor,English,"Lumley papers, National Archives, C114/54, vol 2",,Bedford,,"Lumley, Thomas",,1,,80457,,,,,,,,,,,1,no,no,,,,,,,,,,,,,,,,,,,,,,,,,80457
KR043,Voyage,Klas Rönnbäck,Investor,English,"AE 52 (Joseph Inikori’s 1981 article, table 5)",,Kitty,,,,1,,82183,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,82183
KR044,Voyage,Klas Rönnbäck,Investor,English,"AE 52 (Joseph Inikori’s 1981 article, table 5)",,Earl of Liverpool,,,,1,,81112,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,81112
KR046,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Ranger,,"Tuohy, David",,1,,91274,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,91274
KR047,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Elliot,,"Tuohy, David",,1,,81248,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,81248
KR048,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Sally,,"Tuohy, David",,1,,91327,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,91327
KR049,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Ranger,,"Tuohy, David",,1,,90910,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,90910
KR050,Voyage,Klas Rönnbäck,Investor,English,"David Tuohy records (taken from Joseph Inikori’s 1981 article, table 5)",,Sam,,"Tuohy, David",,1,,91278,,,,,,,,,,,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates,,,,,,,,,,,,,,,,,,,,,,91278
KR051,Voyage,Klas Rönnbäck,Investor,English,"Galton 564 (Joseph Inikori’s 1981 article, table 5)",,Perseverence,,"Galton, Samuel",,1,,83068,,,,,,,,,,,1,with estimates,yes,,,"Insurance rates imputed from previous research on insurance rates. Unclear from Inikori whether it really is 83068 in TSTD, slight mismatch in dates, but this is the closest one with this name.",,,,,,,,,,,,,,,,,,,,,,83068
KR052,Voyage,Klas Rönnbäck,Investor,English,"CO 267/21 (Joseph Inikori’s 1981 article, table 5)",,Restoration,,"Stubbs, Robert",,1,,,,,,1787,,,,,,,1,with estimates,yes,,4,Insurance rates imputed from previous research on insurance rates. Cannot find matching entry in TSTD.,,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,
KR053,Voyage,Klas Rönnbäck,Investor,English,"Thomas Leyland, via Stanley Dumbell’s article",,Louisa,,,,1,,82394,,,,,,,,,,,1,with estimates,with estimates,,,,,,,,,,,,,,,,,,,,,,,,,82394
NR001,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Chesterfield,,"Davenport, William",John Williamson,1,,90542,,Calabar,,1757-07-21,,,,,,,.125,yes,yes,0.42,,,,7,21jul1757,,,,,,,,,,,1757,,,,,,1757,1758,90542
NR002,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Calveley,,"Davenport, William",William Davenport,1,,90745,,Cameroons,,1758-09-28,,,,,,,.166667,yes,yes,0.11,,,,9,28sep1758,,,,,,,,,,,1758,,,,,,1758,1759,90745
NR003,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Chesterfield,,"Davenport, William",John Williamson,1,,90777,,Calabar,,1759-04-04,,,,,,,.0625,yes,yes,0.07,,,,4,04apr1759,,,,,,,,,,,1759,,,,,,1759,1760,90777
NR004,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Eadith,,"Davenport, William",John Williamson,1,,90873,,Bassa,,1760-07-11,,,,,,,.083333,yes,yes,0.07,,,,7,11jul1760,,,,,,,,,,,1760,,,,,,1760,1761,90873
NR005,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Tyrrell,,"Davenport, William",John Maine,1,,90858,,Calabar,,1761-02-03,,,,,,,.0625,yes,yes,-0.26,,,,2,03feb1761,,,,,,,,,,,1761,,,,,,1761,1762,90858
NR006,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Eadith,,"Davenport, William",William Davenport,1,,90874,,Gambia,,1761-11-09,,,,,,,.166667,yes,yes,0.14,,,,11,09nov1761,,,,,,,,,,,1761,,,,,,1761,1762,90874
NR007,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,90906,,Bonny,,1762-07-12,,,,,,,.166667,with estimates,yes,-0.18,,,,7,12jul1762,,,,,,,,,,,1762,,,,,,1762,1763,90906
NR008,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple,,"Davenport, William",William Davenport,1,,91016,,Calabar,,1762-10-22,,,,,,,.25,with estimates,yes,0.18,,,,10,22oct1762,,,,,,,,,,,1762,,,,,,1762,1763,91016
NR009,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Plumper,,"Davenport, William",William Dobb,1,,90937,,"Windward Coast, port unspecified",,1762-10-31,,,,,,,.125,yes,yes,0.29,,,,10,31oct1762,,,,,,,,,,,1762,,,,,,1762,1763,90937
NR010,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Delight,,"Davenport, William",Thomas Rumbold,1,,91066,,"Sierra Leone, port unspecified",,1763-04-11,,,,,,,.125,yes,yes,0.13,,,,4,11apr1763,,,,,,,,,,,1763,,,,,,1763,1764,91066
NR011,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple,,"Davenport, William",William Davenport,1,,91017,,Calabar,,1763-10-06,,,,,,,.1875,yes,yes,0.26,,,,10,06oct1763,,,,,,,,,,,1763,,,,,,1763,1764,91017
NR012,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Friendship,,"Davenport, William",William Earle,1,,91038,,Calabar,,1763-10-14,,,,,,,.083333,yes,yes,0.03,,,,10,14oct1763,,,,,,,,,,,1763,,,,,,1763,1764,91038
NR013,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,90907,,Cameroons,,1764-03-21,,,,,,,.166667,yes,yes,0.5,,,,3,21mar1764,,,,,,,,,,,1764,,,,,,1764,1765,90907
NR014,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Delight,,"Davenport, William",Thomas Rumbold,1,,91067,,"Sierra Leone, port unspecified",,1764-04-21,,,,,,,.125,yes,yes,0.01,,,,4,21apr1764,,,,,,,,,,,1764,,,,,,1764,1765,91067
NR015,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Little Britain,,"Davenport, William",William Davenport,1,,91157,,Porto Novo,,1764-06-30,,,,,,,.1875,with estimates,with estimates,-0.12,,,,6,30jun1764,,,,,,,,,,,1764,,,,,,1764,1765,91157
NR016,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,William,,"Davenport, William",William Davenport,1,,91213,,Gambia,,1764-11-25,,,,,,,.166667,yes,yes,-0.42,,,,11,25nov1764,,,,,,,,,,,1764,,,,,,1764,1765,91213
NR017,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Sisters,,"Davenport, William",William Earle,1,,92315,,Whydah,,1764-08-28,,,,,,,.0625,yes,yes,-0.1,,,,8,28aug1764,,,,,,,,,,,1764,,,,,,1764,1765,92315
NR018,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple,,"Davenport, William",William Davenport,1,,91218,,Calabar,,1765-03-02,,,,,,,.125,yes,yes,-0.11,,,,3,02mar1765,,,,,,,,,,,1765,,,,,,1765,1766,91218
NR019,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Friendship,,"Davenport, William",William Earle,1,,91039,,New Calabar,,1765-04-27,,,,,,,.083333,yes,yes,0.14,,,,4,27apr1765,,,,,,,,,,,1765,,,,,,1765,1766,91039
NR020,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,91247,,Cameroons,,1765-07-03,,,,,,,.166667,yes,yes,0.39,,,,7,03jul1765,,,,,,,,,,,1765,,,,,,1765,1766,91247
NR021,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Active,,"Davenport, William",Christopher Hassell,1,,91256,,Calabar,,1765-07-23,,,,,,,.0625,with estimates,yes,-0.18,,,,7,23jul1765,,,,,,,,,,,1765,,,,,,1765,1766,91256
NR022,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Henry,,"Davenport, William",Alexander Nottingham,1,,91081,,Cameroons,,1765-09-14,,,,,,,.125,yes,yes,0.24,,,,9,14sep1765,,,,,,,,,,,1765,,,,,,1765,1766,91081
NR023,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Little Britain,,"Davenport, William",William Davenport,2,,91219 / 91158,,Calabar,,,,,,,,,.15625,yes,with estimates,0.36,,,,,,,,,,,,,,,,,,,,,,,,91219 / 91158
NR024,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dobson & Good Intent,,"Davenport, William",Christopher Hassell,2,,91360 / 91395,,Calabar,,,,,,,,,.09375,with estimates,yes,-0.53,,,,,,,,,,,,,,,,,,,,,,,,91360 / 91395
NR025,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Neptune & Dalrymple,,"Davenport, William",William Davenport,2,,91427 / 91220,,Calabar,,,,,,,,,.375,yes,yes,0.35,,,,,,,,,,,,,,,,,,,,,,,,91427 / 91220
NR026,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dobson & Fox,,"Davenport, William",Christopher Hassell,2,,91545 / 91553,,Calabar,,,,,,,,,.0416667,yes,yes,0.29,,,,,,,,,,,,,,,,,,,,,,,,91545 / 91553
NR027,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Andromache,,"Davenport, William",William Davenport,2,,91573 / 91594,,Calabar,,,,,,,,,.125,yes,yes,0.29,,,,,,,,,,,,,,,,,,,,,,,,91573 / 91594
NR028,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91221 / 91653,,Calabar,,,,,,,,,.1875,yes,yes,0.7,,,,,,,,,,,,,,,,,,,,,,,,91221 / 91653
NR029,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dobson & Fox,,"Davenport, William",Christopher Hassell,2,,91700 / 91621,,Calabar,,,,,,,,,.0416667,yes,yes,0.12,,,,,,,,,,,,,,,,,,,,,,,,91700 / 91621
NR030,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Andromache,,"Davenport, William",William Davenport,2,,91574 / 91595,,Calabar,,,,,,,,,.208333,yes,yes,0.29,,,,,,,,,,,,,,,,,,,,,,,,91574 / 91595
NR031,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Lord Cassils & May,,"Davenport, William",Robert Kennedy,2,,91702 / 91743,,Calabar,,,,,,,,,.125,yes,yes,-0.05,,,,,,,,,,,,,,,,,,,,,,,,91702 / 91743
NR032,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91752 / 91790,,Calabar,,,,,,,,,.1875,yes,yes,0.23,,,,,,,,,,,,,,,,,,,,,,,,91752 / 91790
NR033,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Andromache,,"Davenport, William",William Davenport,2,,91575 / 91979,,Calabar,,,,,,,,,.208333,yes,yes,-0.26,,,,,,,,,,,,,,,,,,,,,,,,91575 / 91979
NR034,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,"Swift, Dalrymple & Dreadnought",,"Davenport, William",William Davenport,3,,91791 / 91753 / 91837,,Calabar,,,,,,,,,.125,yes,yes,0.12,,,,,,,,,,,,,,,,,,,,,,,,91791 / 91753 / 91837
NR035,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Badger & Fox,,"Davenport, William",William Davenport,2,,91812 / 91804,,Cameroons,,,,,,,,,.25,yes,yes,0.46,,,,,,,,,,,,,,,,,,,,,,,,91812 / 91804
NR036,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91987 / 91792,,Calabar,,,,,,,,,.25,yes,with estimates,0,,Includes estimates imputed by Nick Radburn,,,,,,,,,,,,,,,,,,,,,,91987 / 91792
NR037,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Lord Cassils & May,,"Davenport, William",Robert Kennedy,2,,92543 / 91865,,Calabar,,,,,,,,,.125,yes,yes,-0.54,,,,,,,,,,,,,,,,,,,,,,,,92543 / 91865
NR038,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,91988 / 91793,,Calabar,,,,,,,,,.25,with estimates,with estimates,0.19,,Includes estimates imputed by Nick Radburn,,,,,,,,,,,,,,,,,,,,,,91988 / 91793
NR040,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Hector & Swift,,"Davenport, William",William Davenport,2,,91576 / 91794,,Calabar,,,,,,,,,.25,yes,with estimates,0.3,,Includes estimates imputed by Nick Radburn,,,,,,,,,,,,,,,,,,,,,,91576 / 91794
NR041,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Dalrymple & Swift,,"Davenport, William",William Davenport,2,,92589 / 92728,,Calabar,,,,,,,,,.25,yes,with estimates,0.54,,Includes estimates imputed by Nick Radburn,,,,,,,,,,,,,,,,,,,,,,92589 / 92728
NR042,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Perseverance & Oronoko,,"Davenport, William",Thomas Earle,2,,83063 / 82973,,Calabar,,,,,,,,,.1875,with estimates,with estimates,-0.14,,,,,,,,,,,,,,,,,,,,,,,,83063 / 82973
NR043,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Friendship,,"Davenport, William",William Earle,1,,91313,,New Calabar,,1766-07-24,,,,,,,.083333,yes,with estimates,-0.158567774936061,,,,7,24jul1766,,,,,,,,,,,1766,,,,,,1766,1767,91313
NR044,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,William,,"Davenport, William",William Davenport,1,,91214,,Cameroons,,1766-09-16,,,,,,,.083333,yes,yes,0.143589743589744,,,,9,16sep1766,,,,,,,,,,,1766,,,,,,1766,1767,91214
NR045,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union [New],,"Davenport, William",William Davenport,1,,91354,,Cameroons,,1767-04-01,,,,,,,.166667,yes,yes,0.119825708061002,,,,4,01apr1767,,,,,,,,,,,1767,,,,,,1767,1768,91354
NR046,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Henry,,"Davenport, William",Alexander Nottingham,1,,91082,,Cameroons,,1767-07-13,,,,,,,.125,yes,yes,-0.283018867924528,,,,7,13jul1767,,,,,,,,,,,1767,,,,,,1767,1768,91082
NR047,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,King of Prussia,,"Davenport, William",Thomas Staniforth,1,,91408,,Cameroons,,1767-10-09,,,,,,,.125,yes,yes,0.35625,,,,10,09oct1767,,,,,,,,,,,1767,,,,,,1767,1768,91408
NR048,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Plumper [New],,"Davenport, William",John White,1,,91428,,Benin,,1768-03-25,,,,,,,.125,yes,yes,0.26302729528536,,,,3,25mar1768,,,,,,,,,,,1768,,,,,,1768,1769,91428
NR049,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,William,,"Davenport, William",William Davenport,1,,91215,,Cameroons,,1768-05-18,,,,,,,.25,yes,with estimates,0.483304042179262,,,,5,18may1768,,,,,,,,,,,1768,,,,,,1768,1769,91215
NR050,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Union,,"Davenport, William",William Davenport,1,,91355,,Cameroons,,1768-08-15,,,,,,,.25,yes,yes,0.0650773195876289,,,,8,15aug1768,,,,,,,,,,,1768,,,,,,1768,1769,91355
NR051,Voyage,Klas Rönnbäck,Investor,English,Nick Radburn’s research on the Davenport papers,,Henry,,"Davenport, William",Alexander Nottingham,1,,91083,,Cameroons,,1769-03-21,,,,,,,.125,with estimates,yes,-0.0086455331412103,,,,3,21mar1769,,,,,,,,,,,1769,,,,,,1769,1770,91083
