ventureid,data,YEARDEP,YEARAF,SLAXIMP,SLAMIMP,length_in_days,numberofvoyages,DATEDEP,DATEDEP1,DATEDEP2,DATEDEP3,DATEDEP4,DATEDEP5,DATEDEP6,DATEDEP7,DATEEND,DATEEND1,DATEEND2,DATEEND3,DATEEND4,DATEEND5,DATEEND6,DATEEND7,crowd,TONMOD,VYMRTRAT,FATEcol,typeofventure,retranscriber,perspectiveofsource,nationality,source,dateofprimarysource_str,nameoftheship,nameofthecaptain,nameofinvestor,nameofoutfitter,internalcrossref,voyageidintstd,placeofoutfitting,placeofpurchase,placeofdisembarkation,datedepartureportofoutfitt_str,datetradebeganinafrica_str,dateofdeparturefromafrica_str,datevesselarrivedwithenslave_str,datereturnportofoutfitting_str,numberofenslavedpurchased,numberofenslavedsold,shareoftheship,completedataonoutlays,completedataonreturns,profitsreportedinsource,variousremarks,departurefromportofoutfitt,dateofdeparturefromportofoutfitt,primarysource,dateofprimarysource,tradebeganinafrica,datetradebeganinafrica,departurefromafrica,dateofdeparturefromafrica,vesselarrivedwithenslave,datevesselarrivedwithenslave,returntoportofoutfitting,dateofreturntoportofoutfitting,yearofdeparturefromportofoutfit,yearofprimarysource,yeartradebeganinafrica,yearofdeparturefromafrica,yearvesselarrivedwithslaves,yearofreturntoportofoutfitting,yearmin,YEARAF_own,VOYAGEID,nationality_num,ln_SLAXIMP,MORTALITY,period,expenditure,discount,return,costonreturn,totalgrossexp,totaldisc,totalgrossreturn,totalcostonreturn,totalnetexp,totalnetreturn,profit
GD001,2,1766,1766.75,180.5,156.75,452.75,4,06/07/1769,-6202915291136,-6131894190080,-6074870530048,-6013699227648,,,,09/13/1770,-6156950437888,-6095520137216,-6040742526976,-5973696053248,,,,1.1880168,168.8,.13157895,Voyage completed as intended,Ship,Guillaume Daudin,Investor,French,"Meyer (1969), p. 232 and p. 398-399",1764-09-08,Le Saint-Claude,Fournier/Fournier/Fournier/Fournier,Bertrand de Cœuvre,Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils,GD001/GD011/GD012/GD057,30749 / 30820 / 30869 / 30913,,Various,Port au Prince,,1764,,,,,,.078125,yes,yes,,"GD011 and GD012 are individual ventures of this ship. I had to compute total of all expenditure in the cashflow data base. Every venture has its own comptability, p379. various share of the ship for several ventures ",,,9,08sep1764,,01jul1764,,,,,,,,1764,1764,,,,1764,1764,30749 / 30820 / 30869 / 30913,French,5.1957307,.13157895,1751-1775,12235.779,0,,0,71252.148,0,74800.18,0,71252.148,74800.18,.04979543
GD002,2,1764,1765,220,178,708,1,05/17/1764,-6173279911936,,,,,,,04/25/1766,-6112108609536,,,,,,,1.206802,182.3,.19090909,Voyage completed as intended,Voyage,Guillaume Daudin,Investor,French,"Meyer (1969), p. 400-401 and 427",,Le Saint-René,,Bertrand de Cœuvre,Geslin,,30779,,Adra,,,1764,,,,,,.015625,yes,yes,,,,,,,,01jul1764,,,,,,,,,1764,,,,1764,1764,30779,French,5.3936276,.19090909,1751-1775,1690.2291,0,,0,1928.7208,0,2361.2166,0,1928.7208,2361.2166,.22423968
GD003,2,1768.8572,1769.4286,495.42856,425.57144,423.71429,7,11/23/1774,-6202915291136,-6143385534464,-6077894623232,-6013699227648,-5937234968576,-5876236681216,-5841331159040,11/11/1775,-6160665542656,-6105369411584,-6041347031040,-5977756663808,-5893257691136,-5847206330368,-5810831753216,1.7569987,285.0714285714286,.14100341,Original goal thwarted after disembarking enslaved people,Ship,Guillaume Daudin,Investor,French,"Meyer (1969), p. 400-401 and 422-425",,Le Saint-Hilaire,/Devigne/Devigne/Devigne/Devigne/Devigne/La Causse/La Causse,Bertrand de Cœuvre,Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils,,30750 / 30810 / 30866 / 30914 / 30961 / 30997 / 31022,,Various,,,1765,,,,,,.1875,yes,yes,,"Show 7 outfitting expenditures with 6 years. I assume the first two are the same year (1765), as returns only start in 1766. STDT says the first expedition was 1764 ?",,,,,,01jul1765,,,,,,,,,1765,,,,1765,1765,30750 / 30810 / 30866 / 30914 / 30961 / 30997 / 31022,French,6.2054234,.14100341,1751-1775,29349.471,0,,0,280042.84,0,427062.53,0,280042.84,427062.53,.52498996
GD004,2,1772,1772,172,171,462,1,02/20/1772,-5928336228352,,,,,,,05/27/1773,-5888419037184,,,,,,,1.1756665,146.3,.0058139535,Voyage completed as intended,Voyage,Guillaume Daudin,Owner,French,"Rinchon (1956) p. 58-59 and Meyer (1969), p. 276 and 304-305",1772-02-20,La Glaneuse,,Bertrand de Cœuvre,De Guer,,30967,,"West Central Africa and St. Helena, port unspecified",,,1772,,,,,,1,yes,yes,,There was an error in slave sales. True returns corrected ,,,2,20feb1772,,01jul1772,,,,,,,,1772,1772,,,,1772,1772,30967,French,5.1474943,.0058139535,1751-1775,14642,0,,0,104755,0,129137.95,0,104755,129137.95,.23276171
GD013,2,,1768,,,,1,,,,,,,,,,,,,,,,,,,,,Ship,Guillaume Daudin,Investor,French,"Meyer (1969), p. 408-409, 437 ",,Dom Carlos,Lynch,Bertrand de Cœuvre,,,,,Côte de Guinée,,1767,,,,,,,.083333333333333,yes,yes,,,,01jul1767,,,,,,,,,,,1767,,,,,,1767,1768,,French,,,1751-1775,5543.6099,0,,0,5543.6099,0,3901.03,0,5543.6099,3901.03,-.29630148
GD014,2,1777,1777,586,560,390,1,06/08/1777,-5761151795200,,,,,,,07/03/1778,-5727455805440,,,,,,,1.7492537,335,.044368602,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 394-395, p. 412-413",,La Généreuse,La Causse,Bertrand de Cœuvre,Bouteiller Père et Fils/Bouteiller Père et Fils,,31073,,Guinée,,,,,,,,,.1875,yes,yes,,Taken by the english in 1781,,,,,,,,,,,,,,,,,,,,,31073,French,6.3733196,.044368602,1776-1800,64004.148,0,,0,86603.945,0,108659.23,0,86603.945,108659.23,.25466833
GD015,2,1775,1775,328,249,387,1,05/16/1775,-5826297724928,,,,,,,06/06/1776,-5792860733440,,,,,,,1.7263157,190,.24085365,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 396-397, p. 417",,La Fille Unique,Del Guyot,Bertrand de Cœuvre,,,31030,,Côte d'Afrique ,,,,,,,,,.125,yes,yes,,The capitane on the tstd is named as « Tanquerel »,,,,,,,,,,,,,,,,,,,,,31030,French,5.7930136,.24085365,1751-1775,22336.896,0,,0,23264.313,0,23289.125,0,23264.313,23289.125,.0010665477
GD016,2,1771,1772,250,209,523,1,10/30/1771,-5938098995200,,,,,,,04/05/1773,-5892912185344,,,,,,,1.5216068,164.3,.164,Original goal thwarted after disembarking enslaved people,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 396-397, p. 417",,La Marie-Anne,Boulmer,Bertrand de Cœuvre,,,30957,,Côte d'or,,,,,,,,,.1875,yes,yes,,,,,,,,,,,,,,,,,,,,,,,30957,French,5.521461,.164,1751-1775,19226.275,0,,0,21436.713,0,18544.787,0,21436.713,18544.787,-.13490528
GD017,2,1768,1768,691,642,652,1,02/01/1768,-6056207974400,,,,,,,11/14/1769,-5999875325952,,,,,,,1.891596,365.3,.07091172,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279, 304-305, 394-395, 413",1767-02-01,Le Maréchal de Luxembourg,Fancrel,Bertrand de Cœuvre,Bouteiller Père et Fils,,30879,,Côte d'or,,,,,,,,,.0475415096806399,yes,yes,,,,,2,01feb1767,,,,,,,,,,1767,,,,,,1767,30879,French,6.5381398,.07091172,1751-1775,20000,0,,0,20944.338,0,41823.242,0,20944.338,41823.242,.99687582
GD018,2,1772.2,1773,255,235.60001,410.60001,5,08/28/1777,-6039965007872,-5971881492480,-5921165017088,-5847897341952,-5754153598976,,,05/01/1778,-6006614523904,-5943715168256,-5878828761088,-5795625828352,-5732898963456,,,1.412611,199.38,.076078407,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 396-397, p. 414-415",,Le Saint-Charles,Fouchez/Fouchez/Bloyet/Bloyer/David,Bertrand de Cœuvre,Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils,,30890 / 30940 / 30974 / 31015 / 31079,,Côte d’Or / Côte d’Or / Côte d’Angola / Côte d’Angola / Sierra Leone et Saint-Domingue,,,,,,,,,.0875,yes,yes,,various share of the ship for several ventures,,,,,,,,,,,,,,,,,,,,,30890 / 30940 / 30974 / 31015 / 31079,French,5.5412636,.076078407,1751-1775,13156.338,0,,0,59731.129,0,87280.492,0,59731.129,87280.492,.46122289
GD019,2,1775,1775,542,462,538,1,03/14/1775,-5831740882944,,,,,,,09/02/1776,-5785257508864,,,,,,,3.1882353,170,.14760147,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 396-397, p. 418",,La Concorde,Pacaud,Bertrand de Cœuvre,,,31024,,Côte d'Or ,,,,,,,,,.125,yes,yes,,,,,,,,,,,,,,,,,,,,,,,31024,French,6.2952662,.14760147,1751-1775,36054.238,0,,0,37013.07,0,36393.844,0,37013.07,36393.844,-.016729943
GD020,2,1768,1769.25,,,,4,10/11/1770,-6098803228672,-6045580656640,-5971276988416,,,,,09/06/1769,-6058109042688,-6005837004800,,,,,,1.6585308,361.4333333333334,,Original goal thwarted before disembarking enslaved people,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 398-399, p. 419-420",,Le Saint-Julien,Lynch/Pacaud/Pacaud/Pacaudd,Bertrand de Cœuvre,Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils,,30846 / 30885 / 30942 / ?,,Côte d'Or /Côte d’Or / Côte d’Or / Côte d’Or,,1766/1768/1769/1770,,,,,,,.125,yes,yes,,,,01jul1766,,,,,,,,,,,1766,,,,,,1766,1767,30846 / 30885 / 30942 / ?,French,,,1751-1775,32610.971,0,,0,93046.594,0,130833.27,0,93046.594,130833.27,.40610492
GD021,2,1771,1773,,,,3,04/17/1772,-5990198542336,-5923411066880,,,,,,05/25/1773,-5951318392832,-5888592052224,,,,,,1.7027102,365.3,,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 398-399, p. 420-421",,Le Saint-Guillaume,Beaumont/Beaumont/Beaumont,Bertrand de Cœuvre,Bouteiller Père et Fils/Bouteiller Père et Fils/Bouteiller Père et Fils,GD021/GD080,30931 / 30971 / ?,,Côte d'Angola / Côte d’Angola / Côte d’Angola,,1770/1772/1775,,,,,,,.0625,yes,yes,,The last voyage is not found in TSTD,,01jul1770,,,,,,,,,,,1770,,,,,,1770,1771,30931 / 30971 / ?,French,,,1751-1775,18155.4,0,,0,66376.719,0,94812.797,0,66376.719,94812.797,.42840439
GD023,2,,1793,,,,1,,,,,,,,,,,,,,,,,,,,,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 402-403, p. 428",,L'Union,Matenot,Bertrand de Cœuvre,Delaville,,,,Sénégal,,1792,,,,,,,.1,yes,yes,,No equivalent in the STDT. Signaled.,,01jul1792,,,,,,,,,,,1792,,,,,,1792,1793,,French,,,1776-1800,16936.5,0,,0,16936.5,30059,0,0,-13122.5,0,-1
GD024,1,1788,1788,586,405,503,1,04/06/1788,-5419439751168,,,,,,,08/22/1789,-5375980994560,,,,,,,,,.30887371,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 280, 289, 304-305, 402-403 and 428",1788-04-06,La Madame,Berthommé,Bertrand de Cœuvre,Delaville,,31248,,Mozambic,,,,,,,,405,.033333333333333,yes,with estimates,,Small différence between 304-305 and 402-403 : still coherent (see excel file). Uncertainty on the « reste à recouvrer »),,,4,06apr1788,,,,,,,,,,1788,,,,,,1788,31248,French,6.3733196,.30887371,1776-1800,2000,0,,0,12214.85,843.66669,17205.797,1420.4332,11371.183,15785.363,.38819012
GD025,1,1787.25,1787.75,429,376.25,419.5,4,06/21/1790,-5349801721856,-5406220877824,-5466009632768,-5511628980224,,,,08/27/1791,-5312476610560,-5372092874752,-5424710418432,-5479401521152,,,,,,.12296037,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 402-403, 428",,La Musette,Desageneaux/Cotte/Mary/Desageneaux,Bertrand de Cœuvre,Lincoln/Lincoln/Linclon/Lincoln,,31343 / 31263 / 31204 / 31159,,Côte d'Or ,,,,,,,,,.03125,yes,with estimates,,"contradictory information on the STDT about the several captain's names. Sums are mentionned as « to be recovered » but with 1791-92 accounts and the last returns are from 1797. Meyer indicates the last voyage was not for slave, but STDT says yes. I decide STDT must be right",,,,,,,,,,,,,,,,,,,,,31343 / 31263 / 31204 / 31159,French,6.0614572,.12296037,1776-1800,11289.046,0,,0,33042.523,0,44286.379,0,33042.523,44286.379,.34028441
GD026,1,1788,1789.6666,,,,3,04/24/1789,-5445619023872,-5386348789760,,,,,,09/15/1790,-5408121421824,-5342370988032,,,,,,,,,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 404-405, 429",,Le Saturne,Guyot/Cotte/Cotte,Bertrand de Cœuvre,Lincoln/Lincoln/Linclon,,31228 / 31288 /,,Côte d'Or / Côte d’Or / Mozambic ,,1787/1789/1791,,,,,,,.03125,yes,with estimates,,,,01jul1787,,,,,,,,,,,1787,,,,,,1787,1788,31228 / 31288 /,French,,,1776-1800,11380.958,0,,0,44208.332,0,35696.73,0,44208.332,35696.73,-.19253388
GD027,2,1767,1768,373,246,573,1,11/21/1767,-6062428651520,,,,,,,06/16/1769,-6012921708544,,,,,,,1.3548856,275.3,.34048256,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 279,  287, 404-405, 430",,Le Mars,Terrien,Bertrand de Cœuvre,Darreche (Frères),,30875,,Côte d'or,,,,,,,,,.0625,yes,yes,,Good expenditure recovered from Meyer 404-405p and 289p.,,,,,,,,,,,,,,,,,,,,,30875,French,5.9215784,.34048256,1751-1775,9339.25,0,,0,9714.25,0,8870.0166,0,9714.25,8870.0166,-.086906701
GD028,2,1764,1765,305,245,504,1,12/18/1764,-6154703863808,,,,,,,05/06/1766,-6111158599680,,,,,,,1.1078823,275.3,.19672132,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 404-405, 430-431",,Les deux Nottons,de Belous,Bertrand de Cœuvre,Darreche (Frères),GD028/GD139,30794,,Côte d'Or,,1764,,,,,,,.0625,yes,yes,,No equivalent in the STDT. Has to be signaled,,01jul1764,,,,,,,,,,,1764,,,,,,1764,1765,30794,French,5.7203116,.19672132,1751-1775,9956.0918,0,,0,13097.517,0,7540.1167,0,13097.517,7540.1167,-.42430943
GD029,1,1789,1789,254,218,406,1,04/12/1789,-5387385831424,,,,,,,05/23/1790,-5352307294208,,,,,,,,,.14173229,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 404-405, 432",,La Tolérance,Delaty,Bertrand de Cœuvre,Desclos Le Perley freres,,31285,,Côte d'Or ,,,,,,,,,.145833333333333,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,31285,French,5.5373344,.14173229,1776-1800,10384.55,0,,0,44305.738,16049.8,40103.973,0,28255.938,40103.973,.41931134
GD033,1,1785.5,1786.5,384,349.5,566.5,2,01/06/1787,-5535475171328,-5458838421504,,,,,,08/19/1788,-5488646291456,-5407775916032,,,,,,,,.08984375,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 406-407, 433",,L’Usbeck,Duchesne/Duchesne,Bertrand de Cœuvre,Arnou,,31136 / 31215,,Côte d’Angola/Côte d’Angola,,,,,,,,,.0625,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,31136 / 31215,French,5.9506426,.08984375,1776-1800,34341.633,0,,0,64706.766,0,47554.109,0,64706.766,47554.109,-.2650829
GD034,1,1789,1790,129,110,619,1,08/13/1789,-5376758513664,,,,,,,04/24/1791,-5323276943360,,,,,,,,,.14728682,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 406-407, 433",,Le Comte de Montmorin,Duchesne,Bertrand de Cœuvre,Arnou,,31305,,Côte d’Or,,,,,,,,,.145833333333333,yes,with estimates,,Meyer writes about it « Douteux qu’il reste à recouvrer de fortes sommes »,,,,,,,,,,,,,,,,,,,,,31305,French,4.8598123,.14728682,1776-1800,49049,0,,0,52237.75,0,22716.801,0,52237.75,22716.801,-.56512672
GD035,1,1786.25,1787,326,288.25,421.25,4,10/27/1789,-5554224234496,-5500396634112,-5415552155648,-5370278313984,,,,10/23/1790,-5509209391104,-5461689499648,-5384880259072,-5339087896576,,,,,,.11579755,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 406-407, 433",,La Justine,Mary/Mary/Sauvestre/Sauvestre,Bertrand de Cœuvre,Arnou,,31124 / 31164 / 31252 / 31315,,Côte d’Or/Côte d’Or/Côte d’Or/Côte d’Or,,,,,,,,,.197916666666667,yes,with estimates,,various share of the ship for several ventures,,,,,,,,,,,,,,,,,,,,,31124 / 31164 / 31252 / 31315,French,5.7868972,.11579755,1776-1800,32087.9,0,,0,208878.19,0,276665.81,0,208878.19,276665.81,.32453185
GD036,1,1789.5,1791.3334,,,,3,12/05/1790,-5384966242304,-5335372791808,,,,,,05/18/1792,-5350752256000,-5289580953600,,,,,,,,,Voyage completed as intended,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 408-409, 435",,Le Phénix,"Dupuy, J./Dupuy, J./Dupuy, J.",Bertrand de Cœuvre,Ducollet/Favreau Colleno et Cie/Favreau Colleno et Cie,,31291 / 31362 / ?,,Côte d’Angola/Côte d’Angola/Côte d’Angola,,1789/1790/1793,,,,,,,.03125,yes,with estimates,,both possible vessels in the tstd. I think both keys designate the same vessel. Due to different armatteurs,,01jul1789,,,,,,,,,,,1789,,,,,,1789,1790,31291 / 31362 / ?,French,,,1776-1800,9269.4873,0,,0,21958.316,0,46360.648,0,21958.316,46360.648,1.1113025
GD037,1,1786,1787,391,260,560,1,07/12/1786,-5474217361408,,,,,,,01/23/1788,-5425833443328,,,,,,,,,.33503836,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 408-409, 436",,L’Aigle,Le Ganry,Bertrand de Cœuvre,Ducollet,,31194,,Côte d’Or,,,,,,,,,.03125,yes,with estimates,,No equivalent in the STDT. Has to be signaled,,,,,,,,,,,,,,,,,,,,,31194,French,5.9687076,.33503836,1776-1800,11047.088,0,,0,12373.801,0,8822.9678,0,12373.801,8822.9678,-.28696382
GD038,2,1766,1766,276,,,1,,,,,,,,,,,,,,,,,.90402883,305.3,,Original goal thwarted before disembarking enslaved people,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 408-409, 436",,Le Zéphir,Clémenceau,Bertrand de Cœuvre,Ballan (Aîné),,30854,,Le Galbart en Guinée,,,,,,,,,.0625,yes,yes,,Maybe missing data ?,,,,,,,,,,,,,,,,,,,,,30854,French,5.6204009,,1751-1775,11299.162,0,,0,11334.438,0,1129.9166,0,11334.438,1129.9166,-.90031117
GD039,2,1777,1777,515,407,452,1,01/22/1777,-5772988645376,,,,,,,04/19/1778,-5733936005120,,,,,,,2.0599999,250,.20970874,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 408-409, 436",,L’Amphitrite,Guyot,Bertrand de Cœuvre,Ballan (Aîné),,31065,,Guinée,,,,,,,,,.125,yes,yes,,No equivalent in the STDT. Has to be signaled,,,,,,,,,,,,,,,,,,,,,31065,French,6.2441669,.20970874,1776-1800,30873.949,0,,0,33724.371,0,39049.922,0,33724.371,39049.922,.15791401
GD040,1,1789,1789,315,270,,1,03/06/1789,-5390582415360,,,,,,,,,,,,,,,,,.14285715,Unspecified/unknown,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 437",,La Demoiselle,Coupry,Bertrand de Cœuvre,Portier de Lantimo,,31282,,Côte d’Or,,,,,,,,,.05,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,31282,French,5.7525725,.14285715,1776-1800,11113.25,0,,0,13340,0,19836.537,0,13340,19836.537,.4869968
GD041,2,1766,1767,189,95,579,1,06/10/1766,-6108134506496,,,,,,,01/10/1768,-6058109042688,,,,,,,.86578101,218.3,.49735451,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 437-438",,La Rosalie,Bezier,Bertrand de Cœuvre,"Romanet, Adrien",,30841,,Côte de Guinée,,,,,,,,,.041666666666667,yes,yes,,,,,,,,,,,,,,,,,,,,,,,30841,French,5.2417469,.49735451,1751-1775,3646.6375,0,,0,4246.3706,0,2309.6333,0,4246.3706,2309.6333,-.45609239
GD042,1,1783,1783.6666,136.33333,121,,3,06/24/1783,-5577119891456,-5580575997952,-5570467201024,,,,,04/03/1784,,,-5545929474048,,,,,2.1166666,60,.1124694,Unspecified/unknown,Voyage ,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 438",,"Saint-Paul, l’Union, La Confiance",Le Sourd/Pipat/Dumarais,Bertrand de Cœuvre,A. Menard/A. Menard/A. Menard,,31099 / 31093 / 31112,,Sénégal/Sénégal/Sénégal,,,,,,,,,.03125,yes,with estimates,,"one equivalent in the STDT for each vessel name. Strange, because each of the 3 captains are listed for each vessels. In the STDT, sources come from Mettas",,,,,,,,,,,,,,,,,,,,,31099 / 31093 / 31112,French,4.915103,.1124694,1776-1800,4447.8081,0,,0,7586.5957,0,10189.335,0,7586.5957,10189.335,.34307078
GD043,1,1784,1785,,,,2,12/16/1784,-5523724828672,,,,,,,,,,,,,,,,,,Unspecified/unknown,Ship,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 438",,L’Épreuve,Le Sourd/Le Sourd,Bertrand de Cœuvre,A. Menard/A. Menard,,31144 / ?,,Sénégal/Sénégal,,1784/1784,,,,,,,.03125,yes,with estimates,,,,01jul1784,,,,,,,,,,,1784,,,,,,1784,1785,31144 / ?,French,,,1776-1800,1691.3417,0,,0,3137.7375,0,6631.3594,0,3137.7375,6631.3594,1.1134206
GD044,1,1790,1790,562.5,427,425,2,01/27/1791,-5387385831424,-5330793660416,,,,,,07/10/1792,-5359737503744,-5285001822208,,,,,,,,.24088889,Voyage completed as intended,Ship ,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 439",,Le Nouvel Amour,Reingeard/Reingeard,Bertrand de Cœuvre,L. et F. Langevin frères/L. et F. Langevin frères,,31284 / 31366,,Ralbard/Ralbard,,,,,,,,,.066666666666667,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,31284 / 31366,French,6.3323913,.24088889,1776-1800,22177.975,0,,0,42873.734,0,48688.375,0,42873.734,48688.375,.13562244
GD045,1,1787,1788,425,362,625,1,09/01/1787,-5438275321856,,,,,,,05/18/1789,-5384275230720,,,,,,,,,.14823529,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 439",,Les Deux Sœurs,Huet de Relia,Bertrand de Cœuvre,Dumaine,,31235,,Côte d’Or,,,,,,,,,.035714285714286,yes,with estimates,,contradictory information on the STDT about the captain's name : named as Durocher,,,,,,,,,,,,,,,,,,,,,31235,French,6.0520892,.14823529,1776-1800,12366.138,0,,0,13074.45,0,19055.867,0,13074.45,19055.867,.45748898
GD046,1,1786,1787,424,364,578,1,05/26/1786,-5478278496256,,,,,,,12/25/1787,-5428339015680,,,,,,,,,.14150943,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Meyer (1969), p. 410-411, p. 439",,La Sainte-Anne,De Kérusée,Bertrand de Cœuvre,Libault,,31187,,Côte d’Or,,,,,,,,,.041666666666667,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,31187,French,6.0497336,.14150943,1776-1800,14100.875,0,,0,14683.566,0,17300.359,0,14683.566,17300.359,.17821236
GD103,2,1763,1763,373,318,570,1,05/17/1763,-6204902342656,,,,,,,12/07/1764,-6155654397952,,,,,,,1.2717354,293.3,.14745308,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",,Amaranthe,,,Chateaubriand,,33211,,,,1763-05,,,,1764-12,,,1,yes,yes,,,5,01may1763,,,,,,,,,12,01dec1764,1763,,,,,1764,1763,1764,33211,French,5.9215784,.14745308,1751-1775,205933,0,,0,205933,0,221843.69,0,205933,221843.69,.077261478
GD104,2,1768,1769,283,235,589,1,03/23/1768,-6051801858048,,,,,,,11/02/1769,-6000911843328,,,,,,,1.1128588,254.3,.1696113,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",,Saint-René,,,Chateaubriand,,33245,,,,1768-03,,,,1769-11,,,1,yes,yes,,,3,01mar1768,,,,,,,,,11,01nov1769,1768,,,,,1769,1768,1769,33245,French,5.6454468,.1696113,1751-1775,159069,0,,0,159069,0,177300.64,0,159069,177300.64,.11461467
GD105,2,1770,1771,325,288,351,1,08/28/1770,-5975078600704,,,,,,,08/14/1771,-5944752209920,,,,,,,1.1935365,272.3,.11384615,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",,Saint-René,,,Chateaubriand,,33262,,,,1770-08,,,,1771-08,,,1,yes,yes,,,8,01aug1770,,,,,,,,,8,01aug1771,1770,,,,,1771,1770,1771,33262,French,5.7838254,.11384615,1751-1775,122222,0,,0,122222,0,262718.59,0,122222,262718.59,1.1495197
GD106,2,1772,1773,292,259,473,1,07/16/1772,-5915635351552,,,,,,,11/01/1773,-5874768150528,,,,,,,1.0723467,272.3,.1130137,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",,Saint-René,,,Chateaubriand,,33271,,,,1772-07,,,,1773-11,,,1,yes,yes,,,7,01jul1772,,,,,,,,,11,01nov1773,1772,,,,,1773,1772,1773,33271,French,5.676754,.1130137,1751-1775,131053,0,,0,131053,0,201006.7,0,131053,201006.7,.53378177
GD107,2,1774,1775,299,226,605,1,10/20/1774,-5844268744704,,,,,,,06/16/1776,-5791996706816,,,,,,,1.172549,255,.24414715,Voyage completed as intended,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",,Roi de Juda,,,Chateaubriand,,33280,,,,1774-10,,,,1776-06,,,1,yes,yes,,,10,01oct1774,,,,,,,,,6,01jun1776,1774,,,,,1776,1774,1775,33280,French,5.7004437,.24414715,1751-1775,249023,0,,0,249023,0,223048.38,0,249023,223048.38,-.10430613
GD108,2,,1772,,,,1,,,,,,,,,,,,,,,,,,,,,Voyage,Judith Jacquinot,Investor,French,"Roman, p.198",,Jean-Baptiste,,,Chateaubriand,,,,,,1771-10,,,,,,,1,yes,yes,,"No equivalent in the STDT, « naufragé en avril 1773 ». There is a mistake in JEH 2004 and Daudin 2001 : I have attributed the the Jean-Baptiste the «créances à recouvrer »",10,01oct1771,,,,,,,,,,,1771,,,,,,1771,1772,,French,,,1751-1775,278393,0,,0,278393,0,34300,0,278393,34300,-.87679291
